Web Search interest: indian residential schools; residential schools; canadian residential schools; aboriginal residential schools,,,,
Canada; 2004 - present,,,,
,,,,
Interest over time,,,,
Week,residential schools,,,
canada residential schools,100,,,
indian residential schools,65,,,
,,,,
,,,,
Top searches for aboriginal residential schools,,,,
residential schools canada,100,,,
aboriginal people,40,,,
canadian residential schools,40,,,
,,,,
,,,,
,,,,
Rising searches for indian residential schools,,,,
canada residential schools,Breakout,,,
canadian residential schools,Breakout,,,
indian act,Breakout,,,
indian act canada,Breakout,,,
residential school,Breakout,,,
the indian act,Breakout,,,
,,,,
,,,,
Rising searches for residential schools,,,,
canadian residential schools,Breakout,,,
indian act,Breakout,,,
residential schools abuse,Breakout,,,
residential schools apology,Breakout,,,
residential schools definition,Breakout,,,
residential schools history,Breakout,,,
residential schools settlement,Breakout,,,
canada residential schools,140%,,,
indian residential schools,110%,,,
residential school,110%,,,
,,,,
,,,,
Rising searches for canadian residential schools,,,,
canada residential schools,Breakout,,,
indian residential schools,Breakout,,,
,,,,
,,,,
Rising searches for aboriginal residential schools,,,,
aboriginal people,Breakout,,,
canadian residential schools,Breakout,,,
residential schools canada,Breakout,,,
